Room,Distance,Seconds from service,Cleaning type,Minutes
208,7.5,3.75,Checkout,65
208,7.5,3.75,Checkout,59
208,7.5,3.75,Checkout,40
208,7.5,3.75,Checkout,60
208,7.5,3.75,Checkout,55
208,7.5,3.75,Checkout,49
208,7.5,3.75,Checkout,51
208,7.5,3.75,Checkout,53
208,7.5,3.75,Checkout,45
208,7.5,3.75,Checkout,47
208,7.5,3.75,Checkout,48
208,7.5,3.75,Checkout,50
208,7.5,3.75,Checkout,48
208,7.5,3.75,Checkout,60
208,7.5,3.75,Checkout,36
208,7.5,3.75,Checkout,49
208,7.5,3.75,Checkout,57
208,7.5,3.75,Checkout,35
208,7.5,3.75,Checkout,22
208,7.5,3.75,Checkout,43
208,7.5,3.75,Checkout,49
208,7.5,3.75,Checkout,52
208,7.5,3.75,Checkout,75
208,7.5,3.75,Checkout,48
208,7.5,3.75,Checkout,43
208,7.5,3.75,Checkout,41
208,7.5,3.75,Checkout,40
208,7.5,3.75,Checkout,27
208,7.5,3.75,Checkout,34
208,7.5,3.75,Checkout,45
208,7.5,3.75,Checkout,46
208,7.5,3.75,Checkout,44
208,7.5,3.75,StayOver,19
208,7.5,3.75,StayOver,20
208,7.5,3.75,StayOver,33
208,7.5,3.75,StayOver,5
208,7.5,3.75,StayOver,31
208,7.5,3.75,StayOver,24
208,7.5,3.75,StayOver,17
208,7.5,3.75,StayOver,18
208,7.5,3.75,StayOver,19
208,7.5,3.75,StayOver,30
208,7.5,3.75,StayOver,30
208,7.5,3.75,StayOver,19
208,7.5,3.75,StayOver,18
208,7.5,3.75,StayOver,27
208,7.5,3.75,StayOver,22
208,7.5,3.75,StayOver,23
208,7.5,3.75,StayOver,23
208,7.5,3.75,StayOver,23
208,7.5,3.75,StayOver,54
208,7.5,3.75,StayOver,27
208,7.5,3.75,StayOver,25
208,7.5,3.75,StayOver,17
208,7.5,3.75,StayOver,32
208,7.5,3.75,StayOver,24
208,7.5,3.75,StayOver,20
208,7.5,3.75,StayOver,17
208,7.5,3.75,StayOver,24
208,7.5,3.75,StayOver,18
208,7.5,3.75,StayOver,20
208,7.5,3.75,StayOver,19
208,7.5,3.75,StayOver,28
252,48,24,Checkout,52
252,48,24,Checkout,51
252,48,24,Checkout,49
252,48,24,Checkout,73
252,48,24,Checkout,28
252,48,24,Checkout,55
252,48,24,Checkout,64
252,48,24,Checkout,50
252,48,24,Checkout,50
252,48,24,Checkout,73
252,48,24,Checkout,23
252,48,24,Checkout,72
252,48,24,Checkout,59
252,48,24,Checkout,49
252,48,24,Checkout,65
252,48,24,Checkout,61
252,48,24,Checkout,51
252,48,24,Checkout,44
252,48,24,Checkout,48
252,48,24,Checkout,56
252,48,24,Checkout,96
252,48,24,Checkout,34
252,48,24,Checkout,40
252,48,24,Checkout,62
252,48,24,Checkout,60
252,48,24,Checkout,67
252,48,24,Checkout,57
252,48,24,Checkout,78
252,48,24,Checkout,42
252,48,24,Checkout,51
252,48,24,Checkout,75
252,48,24,Checkout,38
252,48,24,Checkout,32
252,48,24,Checkout,66
252,48,24,Checkout,48
252,48,24,Checkout,43
252,48,24,Checkout,42
252,48,24,Checkout,41
252,48,24,Checkout,56
252,48,24,StayOver,27
252,48,24,StayOver,24
252,48,24,StayOver,29
252,48,24,StayOver,33
252,48,24,StayOver,19
252,48,24,StayOver,22
252,48,24,StayOver,15
252,48,24,StayOver,48
252,48,24,StayOver,21
252,48,24,StayOver,29
252,48,24,StayOver,20
252,48,24,StayOver,20
252,48,24,StayOver,46
252,48,24,StayOver,36
252,48,24,StayOver,29
252,48,24,StayOver,17
252,48,24,StayOver,20
252,48,24,StayOver,26
252,48,24,StayOver,23
252,48,24,StayOver,32
252,48,24,StayOver,26
252,48,24,StayOver,34
252,48,24,StayOver,21
252,48,24,StayOver,28
252,48,24,StayOver,19
252,48,24,StayOver,22
252,48,24,StayOver,39
252,48,24,StayOver,17
252,48,24,StayOver,32
252,48,24,StayOver,19
252,48,24,StayOver,23
252,48,24,StayOver,34
252,48,24,StayOver,22
252,48,24,StayOver,33
252,48,24,StayOver,28
252,48,24,StayOver,22
252,48,24,StayOver,39
252,48,24,StayOver,27
252,48,24,StayOver,22
252,48,24,StayOver,33
450,56,28,Checkout,88
450,56,28,Checkout,27
450,56,28,Checkout,65
450,56,28,Checkout,45
450,56,28,Checkout,51
450,56,28,Checkout,67
450,56,28,Checkout,69
450,56,28,Checkout,68
450,56,28,Checkout,48
450,56,28,Checkout,40
450,56,28,Checkout,54
450,56,28,Checkout,40
450,56,28,Checkout,64
450,56,28,Checkout,55
450,56,28,Checkout,48
450,56,28,Checkout,54
450,56,28,Checkout,92
450,56,28,Checkout,60
450,56,28,Checkout,46
450,56,28,Checkout,35
450,56,28,Checkout,43
450,56,28,Checkout,41
450,56,28,Checkout,51
450,56,28,Checkout,40
450,56,28,Checkout,63
450,56,28,Checkout,67
450,56,28,Checkout,36
450,56,28,Checkout,60
450,56,28,Checkout,66
450,56,28,Checkout,71
450,56,28,Checkout,52
450,56,28,StayOver,33
450,56,28,StayOver,23
450,56,28,StayOver,32
450,56,28,StayOver,49
450,56,28,StayOver,19
450,56,28,StayOver,16
450,56,28,StayOver,32
450,56,28,StayOver,24
450,56,28,StayOver,33
450,56,28,StayOver,24
450,56,28,StayOver,26
450,56,28,StayOver,26
450,56,28,StayOver,28
450,56,28,StayOver,25
450,56,28,StayOver,28
450,56,28,StayOver,43
450,56,28,StayOver,37
450,56,28,StayOver,30
450,56,28,StayOver,28
450,56,28,StayOver,43
450,56,28,StayOver,37
450,56,28,StayOver,30
450,56,28,StayOver,28
450,56,28,StayOver,35
450,56,28,StayOver,29
450,56,28,StayOver,27
450,56,28,StayOver,16
450,56,28,StayOver,23
450,56,28,StayOver,18
450,56,28,StayOver,35
450,56,28,StayOver,28
450,56,28,StayOver,23
450,56,28,StayOver,19
450,56,28,StayOver,15
450,56,28,StayOver,16
450,56,28,StayOver,40
450,56,28,StayOver,21
450,56,28,StayOver,25
450,56,28,StayOver,30
450,56,28,StayOver,22
450,56,28,StayOver,38
450,56,28,StayOver,41
450,56,28,StayOver,29
450,56,28,StayOver,29
450,56,28,StayOver,19
452,57,28.5,Checkout,38
452,57,28.5,Checkout,40
452,57,28.5,Checkout,60
452,57,28.5,Checkout,57
452,57,28.5,Checkout,43
452,57,28.5,Checkout,66
452,57,28.5,Checkout,46
452,57,28.5,Checkout,44
